epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2419.23,0.94846,0.53044,1.02361,0.9772,0.97434,0.99104,0.78388,0.82612,0.43707,0.97015,0.000848969,0.000848969,0.000848969
43,2476.64,0.91542,0.51943,1.00627,0.97115,0.98158,0.99054,0.79006,0.83325,0.42123,0.96588,0.000834822,0.000834822,0.000834822
44,2531.43,0.921,0.50993,1.00919,0.9727,0.97157,0.99105,0.79049,0.8237,0.43787,0.9648,0.000820675,0.000820675,0.000820675
45,2590.09,0.93447,0.51484,1.0117,0.98186,0.98137,0.99216,0.7915,0.82974,0.43399,0.96681,0.000806528,0.000806528,0.000806528
46,2648.06,0.9203,0.50683,1.01008,0.97869,0.97589,0.99146,0.79552,0.83766,0.42327,0.96598,0.00079238,0.00079238,0.00079238
47,2706.21,0.92121,0.50582,1.00842,0.98532,0.98504,0.99256,0.79751,0.8164,0.41828,0.96199,0.000778233,0.000778233,0.000778233
48,2764.07,0.89419,0.49482,0.99478,0.97358,0.98059,0.99148,0.79468,0.82057,0.42475,0.96074,0.000764086,0.000764086,0.000764086
49,2821.43,0.89796,0.49078,0.99559,0.9789,0.97942,0.99026,0.79138,0.8163,0.42141,0.96584,0.000749939,0.000749939,0.000749939
50,2879.98,0.89211,0.49491,0.99723,0.98685,0.98345,0.99202,0.80632,0.79221,0.39726,0.95086,0.000735792,0.000735792,0.000735792
51,2936.93,0.88108,0.48783,0.98851,0.97945,0.98016,0.99209,0.80187,0.80375,0.40586,0.955,0.000721645,0.000721645,0.000721645
52,2991.32,0.88513,0.48348,0.99358,0.98802,0.98601,0.99235,0.80738,0.78953,0.39738,0.94753,0.000707498,0.000707498,0.000707498
53,3049.12,0.87436,0.4746,0.98744,0.98417,0.98662,0.99247,0.81663,0.77433,0.39879,0.94144,0.000693351,0.000693351,0.000693351
54,3107.05,0.87804,0.47587,0.98895,0.98135,0.9876,0.99223,0.80695,0.78223,0.39763,0.94552,0.000679204,0.000679204,0.000679204
55,3164.59,0.85424,0.47112,0.97739,0.98008,0.98916,0.99298,0.80833,0.77046,0.39597,0.93986,0.000665057,0.000665057,0.000665057
56,3221.6,0.88126,0.4843,0.98914,0.98107,0.9854,0.99155,0.80546,0.79641,0.39812,0.94517,0.000650909,0.000650909,0.000650909
57,3280.48,0.87352,0.47816,0.99218,0.98475,0.98402,0.99158,0.81036,0.77776,0.3934,0.9396,0.000636762,0.000636762,0.000636762
58,3335.83,0.86162,0.47074,0.97891,0.98789,0.99009,0.99334,0.82355,0.74278,0.37561,0.93038,0.000622615,0.000622615,0.000622615
59,3392.72,0.85326,0.46679,0.97512,0.98944,0.98768,0.99284,0.8248,0.75284,0.37388,0.93346,0.000608468,0.000608468,0.000608468
60,3449.07,0.85781,0.46421,0.98157,0.98258,0.99,0.9931,0.82017,0.75055,0.38515,0.934,0.000594321,0.000594321,0.000594321
61,3507.47,0.82782,0.45793,0.97418,0.98868,0.98904,0.9934,0.82922,0.73209,0.36618,0.92599,0.000580174,0.000580174,0.000580174
62,3565.45,0.83996,0.45888,0.97675,0.98791,0.98523,0.99305,0.81614,0.74406,0.37442,0.92957,0.000566027,0.000566027,0.000566027
63,3622.69,0.83199,0.45255,0.96951,0.98573,0.9904,0.99286,0.83035,0.72933,0.3703,0.92162,0.00055188,0.00055188,0.00055188
64,3678.54,0.83881,0.45546,0.97341,0.98535,0.99035,0.99218,0.83034,0.72529,0.37291,0.92004,0.000537733,0.000537733,0.000537733
65,3736.42,0.82906,0.44664,0.9698,0.98806,0.98999,0.99337,0.82956,0.73211,0.36674,0.92466,0.000523586,0.000523586,0.000523586
66,3792.99,0.82024,0.44678,0.96717,0.99005,0.99258,0.99329,0.8351,0.71263,0.36191,0.91424,0.000509438,0.000509438,0.000509438
67,3851.14,0.81303,0.44054,0.9655,0.98964,0.99098,0.99332,0.83275,0.71862,0.36153,0.91761,0.000495291,0.000495291,0.000495291
68,3908.51,0.80706,0.43672,0.96403,0.99229,0.99033,0.9936,0.84116,0.68896,0.35132,0.90706,0.000481144,0.000481144,0.000481144
69,3965.13,0.80831,0.4389,0.95949,0.99119,0.99391,0.99362,0.83952,0.69528,0.34908,0.90895,0.000466997,0.000466997,0.000466997
70,4023.41,0.80875,0.43646,0.95866,0.99053,0.99141,0.99364,0.83673,0.69735,0.34823,0.91163,0.00045285,0.00045285,0.00045285
71,4080.53,0.81623,0.43887,0.96934,0.98969,0.99192,0.99364,0.84566,0.68869,0.34873,0.90565,0.000438703,0.000438703,0.000438703
